zip,new_small,new_medium,new_large,expansion_slots,new_u5_slots,supply_total,requirement,u5_req,u5_exist
14437,0,0,0,178,178,556,496.6,201.33333333333331,24.0
14445,1,0,1,0,205,500,456.6,204.66666666666666,0.0
14450,1,0,1,825,1075,2206,2169.133333333333,1452.0,377.0
14456,0,0,2,324,724,1513,1334.0,738.0,14.0
14464,0,1,1,16,316,659,482.7,344.0,28.0
14468,0,0,2,139,539,1231,992.1333333333333,679.3333333333333,141.0
14470,0,0,1,18,218,553,527.8,297.3333333333333,80.0
14472,0,0,2,0,374,800,521.2666666666667,373.3333333333333,0.0
14476,0,0,0,92,92,208,153.06666666666666,107.33333333333333,16.0
14477,1,0,0,0,49,100,43.06666666666666,48.666666666666664,0.0
14478,1,0,0,0,31,100,21.93333333333333,30.666666666666664,0.0
14479,0,0,0,0,0,0,0.0,0.0,0.0
14481,1,0,0,0,45,108,85.13333333333333,44.666666666666664,0.0
14486,1,0,0,0,10,108,16.6,9.333333333333332,0.0
14505,0,0,0,136,136,284,244.86666666666667,136.0,0.0
14510,0,0,0,42,0,352,351.8,178.66666666666666,290.0
14516,0,0,1,0,128,400,154.73333333333332,127.33333333333333,0.0
14521,0,0,1,0,141,408,264.4,140.66666666666666,0.0
14525,0,0,0,99,99,190,130.39999999999998,98.66666666666666,0.0
14526,0,0,1,607,807,1624,1080.6,864.0,57.0
14532,0,0,0,138,138,353,250.46666666666664,193.33333333333331,56.0
14536,0,0,0,20,20,40,35.2,19.333333333333332,0.0
14537,0,0,0,0,0,0,0.0,0.0,0.0
14541,0,0,1,0,131,408,191.59999999999997,130.66666666666666,0.0
14542,0,0,0,0,0,0,0.0,0.0,0.0
14544,1,0,0,0,46,122,120.93333333333331,45.33333333333333,0.0
14545,0,0,0,6,6,22,6.0,6.0,0.0
14546,0,0,1,42,242,511,212.26666666666665,241.33333333333331,0.0
14556,0,0,0,0,0,0,0.0,0.0,0.0
14557,1,0,0,0,4,100,3.6666666666666665,4.0,0.0
14560,1,0,0,0,42,100,83.66666666666666,41.33333333333333,0.0
14561,1,0,0,0,38,100,87.13333333333333,37.33333333333333,0.0
14564,0,0,0,317,317,843,820.0,561.3333333333333,245.0
14568,1,0,0,92,142,309,262.3333333333333,142.0,0.0
14569,0,0,0,78,78,198,193.0,126.0,48.0
14580,0,0,4,496,1296,2663,2555.2,1585.3333333333333,290.0
14586,0,1,1,0,258,640,624.5333333333333,257.3333333333333,0.0
14589,0,1,1,44,344,701,422.9333333333333,374.66666666666663,31.0
14590,0,0,1,0,75,400,294.7,74.66666666666666,0.0
14608,0,0,1,246,398,989,988.8,484.0,86.0
14609,1,0,1,1218,1468,3016,2990.1,1686.0,218.0
14612,1,0,3,280,930,1885,1558.6,947.3333333333333,18.0
14617,0,0,1,210,410,1072,1066.7333333333331,627.3333333333333,218.0
14621,0,0,2,1132,1530,3260,3259.9,1730.0,200.0
14622,0,0,2,25,425,954,569.4,458.66666666666663,34.0
14623,0,0,0,409,14,1008,1007.6,534.6666666666666,521.0
14625,0,0,1,42,242,591,375.26666666666665,241.33333333333331,0.0
14707,1,0,0,0,5,100,4.533333333333333,4.666666666666666,0.0
14708,1,0,0,0,6,100,4.6,6.0,0.0
14709,1,0,0,0,38,100,80.0,37.33333333333333,0.0
14710,0,1,0,0,71,200,173.33333333333331,70.66666666666666,0.0
14717,0,0,0,11,11,35,18.8,10.666666666666666,0.0
14720,1,0,0,0,23,100,29.866666666666664,22.666666666666664,0.0
14721,1,0,0,0,0,100,4.333333333333333,0.0,0.0
14724,0,0,1,0,158,400,394.2,158.0,0.0
14726,0,1,1,0,289,600,521.4,288.66666666666663,0.0
14727,0,1,0,68,136,376,375.1,164.0,28.0
14729,1,0,0,0,26,100,38.8,25.333333333333332,0.0
14731,0,0,0,7,7,91,54.8,42.0,35.0
14732,1,0,0,0,0,100,1.0,0.0,0.0
14736,1,0,0,0,6,100,5.5,5.333333333333333,0.0
14740,1,0,0,0,24,100,40.46666666666667,23.333333333333332,0.0
14741,1,0,0,3,52,111,110.53333333333333,51.33333333333333,0.0
14747,0,1,0,4,104,219,176.8,104.0,0.0
14767,0,1,0,0,68,216,210.4,67.33333333333333,0.0
14770,1,0,0,64,77,234,233.89999999999998,91.33333333333333,15.0
14772,0,1,0,39,139,347,321.7,170.66666666666666,32.0
14774,0,0,0,3,3,65,22.93333333333333,2.6666666666666665,0.0
14785,0,0,0,0,0,0,0.0,0.0,0.0
14788,1,0,0,0,0,100,0.19999999999999998,0.0,0.0
14805,1,0,0,0,21,108,32.2,20.666666666666664,0.0
14806,0,1,0,0,85,216,165.2,84.66666666666666,0.0
