candidate_idx,zipcode,size,capacity_add,u5_add,latitude,longitude
44281,11374,large,400,200,40.72407508752915,-73.8553989341654
44291,11374,large,400,200,40.71816910287698,-73.85725804212446
44301,11375,large,400,200,40.72693119244588,-73.8560558767904
44305,11375,large,400,200,40.73257199196453,-73.8514782420346
44307,11375,large,400,200,40.71323119886136,-73.85355038672218
44308,11375,large,400,200,40.72680727751448,-73.8480082939089
44310,11375,large,400,200,40.727140523264296,-73.83753036901142
44315,11375,large,400,200,40.71707054797594,-73.84536827387322
44321,11375,large,400,200,40.7168990048705,-73.85093608061158
44326,11375,large,400,200,40.72863608095756,-73.84525459735872
44336,11375,large,400,200,40.726207751544365,-73.85707196560367
44349,11375,large,400,200,40.71970358433556,-73.84171694477737
44363,11375,large,400,200,40.72228644697365,-73.8402862195781
44379,11375,large,400,200,40.72603316987288,-73.8394719477512
44384,11375,large,400,200,40.72063581871095,-73.85214030771456
44391,11375,large,400,200,40.71809413469856,-73.85211988521462
44401,11377,large,400,200,40.742570818531256,-73.90529478073807
44411,11377,large,400,200,40.752209339552046,-73.91164369866961
44417,11377,large,400,200,40.752880950145645,-73.89888923889659
44431,11377,large,400,200,40.743570112348046,-73.90663503119279
44437,11377,large,400,200,40.75366858596573,-73.90245941987676
44441,11377,large,400,200,40.74994889708317,-73.90309525538318
44446,11377,large,400,200,40.74823560917928,-73.91269006223587
44447,11377,large,400,200,40.74714092724987,-73.8981011612435
44451,11377,large,400,200,40.7503378627821,-73.90027106147042
44461,11377,large,400,200,40.73799917795954,-73.90835625556494
44468,11377,large,400,200,40.75306233663767,-73.90581613039508
44472,11377,large,400,200,40.74061494045532,-73.90953674393431
44485,11377,large,400,200,40.74790933087576,-73.90739819364771
44491,11377,large,400,200,40.74884057005487,-73.9093392594535
44496,11377,large,400,200,40.74489815629776,-73.90319525032305
44498,11377,large,400,200,40.74221844816346,-73.90802100994352
44505,11378,large,400,200,40.73181353785253,-73.89365800176715
44518,11378,large,400,200,40.71811406813401,-73.90374332908273
44527,11378,large,400,200,40.717313826145606,-73.89735681754583
44529,11378,large,400,200,40.726701928116086,-73.89367531744988
44542,11378,large,400,200,40.72618571722531,-73.9012271170453
44556,11378,large,400,200,40.720730238767445,-73.88994126252122
44570,11378,large,400,200,40.73192917604289,-73.90346373604257
44585,11378,large,400,200,40.71594337334093,-73.8932592285541
44609,11379,large,400,200,40.71509947145099,-73.86943084696765
